ric,company_name,name_bhrc,url_bhrc,,,,,,,,,,,,,,
AUTOA.L,Auto Trader Group PLC,Auto Trader Group plc,https://www.business-humanrights.org/en/companies/auto-trader-group-plc/,,,,,,,,,,,,,,
AV.L,Aviva PLC,Aviva,https://www.business-humanrights.org/en/companies/aviva/,,,,,,,,,,,,,,
AVANZ.ST,Avanza Bank Holding AB,N/A,N/A,,,,,,,,,,,,,,
AVOL.S,Avolta AG,N/A,N/A,,,,,,,,,,,,,,
AXAF.PA,AXA SA,AXA,https://www.business-humanrights.org/en/companies/axa/,,,,,,,,,,,,,,
AXFO.ST,Axfood AB,Axfood,https://www.business-humanrights.org/en/companies/axfood/,,,,,,,,,,,,,,
AYV.PA,Ayvens SA,N/A,N/A,,,,,,,,,,,,,,
AZE.BR,Azelis Group NV,N/A,N/A,,,,,,,,,,,,,,
AZMT.MI,Azimut Holding SpA,Azimut Group,https://www.business-humanrights.org/en/companies/azimut-group/,,,,,,,,,,,,,,
AZN.L,AstraZeneca PLC,AstraZeneca,https://www.business-humanrights.org/en/companies/astrazeneca/,,,,,,,,,,,,,,
BAB.L,Babcock International Group PLC,Babcock International Group PLC,https://www.business-humanrights.org/en/companies/babcock-international-group-plc/,,,,,,,,,,,,,,
BAER.S,Julius Baer Gruppe AG,Julius Baer,https://www.business-humanrights.org/en/companies/julius-baer/,,,,,,,,,,,,,,
BAES.L,BAE Systems PLC,BAE Systems,https://www.business-humanrights.org/en/companies/bae-systems/,,,,,,,,,,,,,,
BAKKA.OL,P/F Bakkafrost,N/A,N/A,,,,,,,,,,,,,,
BALDb.ST,Fastighets AB Balder,N/A,N/A,,,,,,,,,,,,,,
BALF.L,Balfour Beatty PLC,Balfour Beatty,https://www.business-humanrights.org/en/companies/balfour-beatty/,,,,,,,,,,,,,,
BALN.S,Baloise Holding AG,N/A,N/A,,,,,,,,,,,,,,
BAMI.MI,Banco BPM SpA,N/A,N/A,,,,,,,,,,,,,,
BARC.L,Barclays PLC,Barclays,https://www.business-humanrights.org/en/companies/barclays/,,,,,,,,,,,,,,
BARN.S,Barry Callebaut AG,Barry Callebaut,https://www.business-humanrights.org/en/companies/barry-callebaut/,,,,,,,,,,,,,,
BASFn.DE,BASF SE,BASF,https://www.business-humanrights.org/en/companies/basf/,,,,,,,,,,,,,,
BATS.L,British American Tobacco plc,British American Tobacco,https://www.business-humanrights.org/en/companies/british-american-tobacco/,,,,,,,,,,,,,,
BAVA.CO,Bavarian Nordic A/S,N/A,N/A,,,,,,,,,,,,,,
BAWG.VI,BAWAG Group AG,N/A,N/A,,,,,,,,,,,,,,
BAYGn.DE,Bayer AG,Bayer,https://www.business-humanrights.org/en/companies/bayer/,,,,,,,,,,,,,,
BBOXT.L,Tritax Big Box Reit PLC,Tritax Big Box Reit PLC,https://www.business-humanrights.org/en/companies/tritax-big-box-reit-plc/,,,,,,,,,,,,,,
BBVA.MC,Banco Bilbao Vizcaya Argentaria SA,BBVA,https://www.business-humanrights.org/en/companies/bbva/,,,,,,,,,,,,,,
BC8G.DE,Bechtle AG,N/A,N/A,,,,,,,,,,,,,,
BCP.LS,Banco Comercial Portugues SA,Banco Comercial Portugues,https://www.business-humanrights.org/en/companies/banco-comercial-portugues/,,,,,,,,,,,,,,
BCU.MI,Brunello Cucinelli SpA,Brunello Cucinelli,https://www.business-humanrights.org/en/companies/brunello-cucinelli/,,,,,,,,,,,,,,
BCVN.S,Banque Cantonale Vaudoise,Banque Cantonale Vaudoise,https://www.business-humanrights.org/en/companies/banque-cantonale-vaudoise/,,,,,,,,,,,,,,
BEAN.S,Belimo Holding AG,N/A,N/A,,,,,,,,,,,,,,
BEIG.DE,Beiersdorf AG,Beiersdorf,https://www.business-humanrights.org/en/companies/beiersdorf/,,,,,,,,,,,,,,
BEIJb.ST,Beijer Ref AB (publ),N/A,N/A,,,,,,,,,,,,,,
BESI.AS,BE Semiconductor Industries NV,N/A,N/A,,,,,,,,,,,,,,
BEZG.L,Beazley PLC,Beazley PLC,https://www.business-humanrights.org/en/companies/beazley-plc/,,,,,,,,,,,,,,
BGEO.L,Lion Finance Group PLC,N/A,N/A,,,,,,,,,,,,,,
BGN.MI,Banca Generali SpA,N/A,N/A,,,,,,,,,,,,,,
BIOX.PA,Biomerieux SA,bioMérieux,https://www.business-humanrights.org/en/companies/biomérieux/,,,,,,,,,,,,,,
BIRG.I,Bank of Ireland Group PLC,Bank of Ireland Group plc,https://www.business-humanrights.org/en/companies/bank-of-ireland-group-plc/,,,,,,,,,,,,,,
BKGH.L,Berkeley Group Holdings PLC,Berkeley Group,https://www.business-humanrights.org/en/companies/berkeley-group/,,,,,,,,,,,,,,
BKT.MC,Bankinter SA,Bankinter,https://www.business-humanrights.org/en/companies/bankinter/,,,,,,,,,,,,,,
BKWB.S,BKW AG,BKW Energy,https://www.business-humanrights.org/en/companies/bkw-energy/,,,,,,,,,,,,,,
BLND.L,British Land Company PLC,British Land,https://www.business-humanrights.org/en/companies/british-land/,,,,,,,,,,,,,,
BMEB.L,B&M European Value Retail SA,B&M European Value Retail S.A.,https://www.business-humanrights.org/en/companies/bm-european-value-retail-sa/,,,,,,,,,,,,,,
BMED.MI,Banca Mediolanum SpA,N/A,N/A,,,,,,,,,,,,,,
BMPS.MI,Banca Monte dei Paschi di Siena SpA,N/A,N/A,,,,,,,,,,,,,,
BMWG.DE,Bayerische Motoren Werke AG,BMW,https://www.business-humanrights.org/en/companies/bmw/,,,,,,,,,,,,,,
BNPP.PA,BNP Paribas SA,BNP Paribas,https://www.business-humanrights.org/en/companies/bnp-paribas/,,,,,,,,,,,,,,
BNRGn.DE,Brenntag SE,Brenntag,https://www.business-humanrights.org/en/companies/brenntag/,,,,,,,,,,,,,,
BNZL.L,Bunzl plc,Bunzl,https://www.business-humanrights.org/en/companies/bunzl/,,,,,,,,,,,,,,
BOL.ST,Boliden AB,Boliden,https://www.business-humanrights.org/en/companies/boliden/,,,,,,,,,,,,,,
BOLL.PA,Bollore SE,Bolloré,https://www.business-humanrights.org/en/companies/bolloré/,,,,,,,,,,,,,,
BOUY.PA,Bouygues SA,Bouygues,https://www.business-humanrights.org/en/companies/bouygues/,,,,,,,,,,,,,,
BP.L,BP PLC,bp,https://www.business-humanrights.org/en/companies/bp/,,,,,,,,,,,,,,
BPSI.MI,Banca Popolare di Sondrio SpA,N/A,N/A,,,,,,,,,,,,,,
BPTB.L,Bridgepoint Group PLC,N/A,N/A,,,,,,,,,,,,,,
BRBY.L,Burberry Group PLC,Burberry,https://www.business-humanrights.org/en/companies/burberry/,,,,,,,,,,,,,,
BT.L,BT Group PLC,bt,https://www.business-humanrights.org/en/companies/bt/,,,,,,,,,,,,,,
BTRW.L,Barratt Redrow PLC,N/A,N/A,,,,,,,,,,,,,,
BUCN.S,Bucher Industries AG,Bucher Industries,https://www.business-humanrights.org/en/companies/bucher-industries/,,,,,,,,,,,,,,
BVI.PA,Bureau Veritas SA,Bureau Veritas,https://www.business-humanrights.org/en/companies/bureau-veritas/,,,,,,,,,,,,,,
BWY.L,Bellway PLC,Bellway Homes,https://www.business-humanrights.org/en/companies/bellway-homes/,,,,,,,,,,,,,,
BYG.L,Big Yellow Group PLC,Big Yellow Group PLC,https://www.business-humanrights.org/en/companies/big-yellow-group-plc/,,,,,,,,,,,,,,
BZU.MI,Buzzi SpA,Buzzi Unicem,https://www.business-humanrights.org/en/companies/buzzi-unicem/,,,,,,,,,,,,,,
CABK.MC,CaixaBank SA,CaixaBank (part of La Caixa),https://www.business-humanrights.org/en/companies/caixabank-part-of-la-caixa/,,,,,,,,,,,,,,
CAGR.PA,Credit Agricole SA,Crédit Agricole,https://www.business-humanrights.org/en/companies/crédit-agricole/,,,,,,,,,,,,,,
CAPP.PA,Capgemini SE,Capgemini,https://www.business-humanrights.org/en/companies/capgemini/,,,,,,,,,,,,,,
CARLb.CO,Carlsberg A/S,Carlsberg UK Limited,https://www.business-humanrights.org/en/companies/carlsberg-uk-limited/,,,,,,,,,,,,,,
CARR.PA,Carrefour SA,Carrefour ,https://www.business-humanrights.org/en/companies/carrefour/,,,,,,,,,,,,,,
CAST.ST,Castellum AB,Castellum,https://www.business-humanrights.org/en/companies/castellum/,,,,,,,,,,,,,,
CBKG.DE,Commerzbank AG,Commerzbank,https://www.business-humanrights.org/en/companies/commerzbank/,,,,,,,,,,,,,,
CCC.L,Computacenter PLC,Computacenter plc,https://www.business-humanrights.org/en/companies/computacenter-plc/,,,,,,,,,,,,,,
CCH.L,Coca Cola HBC AG,Coca-Cola HBC AG,https://www.business-humanrights.org/en/companies/coca-cola-hellenic/,,,,,,,,,,,,,,
CCL.L,Carnival PLC,N/A,N/A,,,,,,,,,,,,,,
CDR.WA,CD Projekt SA,N/A,N/A,,,,,,,,,,,,,,
CFR.S,Compagnie Financiere Richemont SA,Richemont,https://www.business-humanrights.org/en/companies/richemont/,,,,,,,,,,,,,,
CLN.S,Clariant AG,Clariant,https://www.business-humanrights.org/en/companies/clariant/,,,,,,,,,,,,,,
CLNX.MC,Cellnex Telecom SA,N/A,N/A,,,,,,,,,,,,,,
CMBN.S,Cembra Money Bank Ltd,N/A,N/A,,,,,,,,,,,,,,
CNA.L,Centrica PLC,Centrica,https://www.business-humanrights.org/en/companies/centrica/,,,,,,,,,,,,,,
COFB.BR,Cofinimmo SA,Cofinimmo,https://www.business-humanrights.org/en/companies/cofinimmo/,,,,,,,,,,,,,,
COLOb.CO,Coloplast A/S,Coloplast A/S,https://www.business-humanrights.org/en/companies/coloplast-as/,,,,,,,,,,,,,,
CONG.DE,Continental AG,Continental AG,https://www.business-humanrights.org/en/companies/continental-ag/,,,,,,,,,,,,,,
CPG.L,Compass Group PLC,Compass Group,https://www.business-humanrights.org/en/companies/compass-group/,,,,,,,,,,,,,,
CPRI.MI,Davide Campari Milano NV,Campari Group,https://www.business-humanrights.org/en/companies/campari-group/,,,,,,,,,,,,,,
CRDA.L,Croda International PLC,Croda International PLC,https://www.business-humanrights.org/en/companies/croda-international-plc/,,,,,,,,,,,,,,
CRDI.MI,UniCredit SpA,Unicredito Italiano (now Unicredit),https://www.business-humanrights.org/en/companies/unicredito-italiano-now-unicredit/,,,,,,,,,,,,,,
CTEC.L,ConvaTec Group PLC,ConvaTec Group plc,https://www.business-humanrights.org/en/companies/convatec-group-plc/,,,,,,,,,,,,,,
CVC.AS,CVC Capital Partners PLC,CVC Capital Partners,https://www.business-humanrights.org/en/companies/cvc-capital-partners/,,,,,,,,,,,,,,
CVO.PA,Covivio SA,N/A,N/A,,,,,,,,,,,,,,
CWK.L,Cranswick PLC,Cranswick,https://www.business-humanrights.org/en/companies/cranswick/,,,,,,,,,,,,,,
DANO.PA,Danone SA,Danone,https://www.business-humanrights.org/en/companies/danone/,,,,,,,,,,,,,,
DANSKE.CO,Danske Bank A/S,Danske Bank,https://www.business-humanrights.org/en/companies/danske-bank/,,,,,,,,,,,,,,
DAST.PA,Dassault Systemes SE,Dassault Systèmes S.E.,https://www.business-humanrights.org/en/companies/dassault-systemes-se/,,,,,,,,,,,,,,
DB1Gn.DE,Deutsche Boerse AG,Deutsche Boerse,https://www.business-humanrights.org/en/companies/deutsche-boerse/,,,,,,,,,,,,,,
